time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591114481823.924,4FB2404F-E075-DFED-2586-76FD6E351340,612807281821.91,-72,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,-0.180,1.480,1.669
1591114481956.635,4FB2404F-E075-DFED-2586-76FD6E351340,612807281954.957,-70,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,-0.197,1.486,1.687
1591114482088.2812,4FB2404F-E075-DFED-2586-76FD6E351340,612807282086.38,-73,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,-0.150,1.489,1.641
1591114482484.729,4FB2404F-E075-DFED-2586-76FD6E351340,612807282482.719,-69,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,-0.155,1.479,1.642
1591114482620.439,4FB2404F-E075-DFED-2586-76FD6E351340,612807282618.559,-73,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,-0.076,1.484,1.564
1591114483019.854,4FB2404F-E075-DFED-2586-76FD6E351340,612807283017.715,-69,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.006,1.492,1.486
1591114483154.1582,4FB2404F-E075-DFED-2586-76FD6E351340,612807283152.3779,-73,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.002,1.491,1.486
1591114483286.082,4FB2404F-E075-DFED-2586-76FD6E351340,612807283284.232,-70,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.006,1.498,1.483
1591114483686.769,4FB2404F-E075-DFED-2586-76FD6E351340,612807283684.8989,-73,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.013,1.507,1.472
1591114483821.912,4FB2404F-E075-DFED-2586-76FD6E351340,612807283819.8889,-72,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.020,1.512,1.462
1591114484221.642,4FB2404F-E075-DFED-2586-76FD6E351340,612807284219.464,-78,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.044,1.506,1.445
1591114484353.233,4FB2404F-E075-DFED-2586-76FD6E351340,612807284351.224,-78,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.072,1.504,1.417
1591114484754.7932,4FB2404F-E075-DFED-2586-76FD6E351340,612807284752.887,-73,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.156,1.503,1.331
1591114484888.074,4FB2404F-E075-DFED-2586-76FD6E351340,612807284886.2789,-77,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.210,1.499,1.277
1591114485020.308,4FB2404F-E075-DFED-2586-76FD6E351340,612807285018.458,-85,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.248,1.499,1.239
1591114485417.2913,4FB2404F-E075-DFED-2586-76FD6E351340,612807285415.2959,-76,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.261,1.503,1.226
1591114485562.0452,4FB2404F-E075-DFED-2586-76FD6E351340,612807285551.161,-76,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.245,1.501,1.244
1591114485819.895,4FB2404F-E075-DFED-2586-76FD6E351340,612807285817.825,-70,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.218,1.500,1.270
1591114485953.0898,4FB2404F-E075-DFED-2586-76FD6E351340,612807285951.274,-75,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.207,1.503,1.278
1591114486485.269,4FB2404F-E075-DFED-2586-76FD6E351340,612807286483.395,-88,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.325,1.506,1.164
1591114486619.954,4FB2404F-E075-DFED-2586-76FD6E351340,612807286617.985,-74,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.327,1.512,1.160
1591114486754.5671,4FB2404F-E075-DFED-2586-76FD6E351340,612807286752.603,-77,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.273,1.512,1.213
1591114487021.8557,4FB2404F-E075-DFED-2586-76FD6E351340,612807287019.839,-77,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.271,1.517,1.216
1591114487153.874,4FB2404F-E075-DFED-2586-76FD6E351340,612807287151.769,-78,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.262,1.516,1.226
1591114487558.098,4FB2404F-E075-DFED-2586-76FD6E351340,612807287556.163,-77,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.099,1.503,1.374
1591114487691.236,4FB2404F-E075-DFED-2586-76FD6E351340,612807287689.474,-74,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.241,1.501,1.234
1591114488093.1082,4FB2404F-E075-DFED-2586-76FD6E351340,612807288091.0911,-84,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.237,1.502,1.245
1591114488227.0532,4FB2404F-E075-DFED-2586-76FD6E351340,612807288225.291,-80,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.219,1.499,1.263
1591114488358.0688,4FB2404F-E075-DFED-2586-76FD6E351340,612807288356.259,-78,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.195,1.501,1.283
1591114488888.757,4FB2404F-E075-DFED-2586-76FD6E351340,612807288886.658,-70,1,0.163,0.829,0.113,0.82861495,unplugged,0.87,0.116,1.499,1.353
