time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591112487186.6409,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805287184.125,-79,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.258,1.503,2.201
1591112487316.777,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805287315.23,-76,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.115,1.496,2.347
1591112487448.499,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805287445.944,-73,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.244,1.508,2.223
1591112487711.513,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805287709.0549,-74,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.164,1.507,2.285
1591112487976.687,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805287973.393,-73,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.318,1.503,2.131
1591112488510.617,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805288505.85,-73,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.125,1.497,2.322
1591112488640.744,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805288637.8359,-77,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.137,1.500,2.314
1591112488775.6118,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805288773.0139,-75,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.130,1.511,2.322
1591112489174.284,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805289171.5061,-76,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.090,1.518,2.365
1591112489306.571,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805289304.077,-74,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.099,1.520,2.358
