time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591294424674.8992,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987224673.224,-72,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.077,0.262,2.589
1591294424978.554,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987224976.753,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.066,0.185,2.631
1591294424979.841,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987224977.438,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.066,0.185,2.631
1591294425263.6008,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225261.682,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.056,0.171,2.646
1591294425264.75,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225262.0979,-78,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.058,0.171,2.646
1591294425293.7268,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225291.56,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.059,0.180,2.649
1591294425294.443,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225292.1261,-78,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,-0.059,0.180,2.649
1591294425879.7852,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225875.5911,-72,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.007,0.224,2.669
1591294425880.624,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987225876.243,-73,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.007,0.224,2.669
1591294426195.182,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987226191.635,-76,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.034,0.213,2.703
1591294426197.4912,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987226192.143,-76,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.034,0.213,2.703
1591294426465.235,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987226463.537,-78,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.032,0.216,2.716
1591294426469.305,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987226464.086,-78,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.032,0.216,2.716
1591294426779.839,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987226777.96,-74,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.034,0.206,2.719
1591294427063.518,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987227061.4049,-82,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.026,0.203,2.716
1591294427064.332,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987227061.708,-82,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.026,0.203,2.716
1591294427690.988,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987227687.9751,-71,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.028,0.197,2.706
1591294427972.5261,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987227968.7069,-77,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.030,0.203,2.710
1591294427973.949,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987227969.092,-77,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.030,0.203,2.710
1591294428291.137,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987228287.3309,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.031,0.208,2.707
1591294428291.96,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987228287.827,-79,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.031,0.208,2.707
1591294428576.834,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987228574.26,-76,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.036,0.209,2.705
1591294429188.597,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229183.679,-81,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.030,0.235,2.711
1591294429192.282,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229184.0089,-80,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.030,0.235,2.711
1591294429470.2349,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229466.722,-77,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.033,0.226,2.699
1591294429471.8818,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229467.1641,-78,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.033,0.226,2.699
1591294429787.0732,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229785.068,-89,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.037,0.226,2.698
1591294429788.117,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987229785.293,-89,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.037,0.226,2.698
1591294430070.904,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987230067.348,-77,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.036,0.222,2.698
1591294430072.4568,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987230067.647,-76,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.036,0.222,2.698
1591294430377.8281,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612987230374.307,-77,7,0.107,0.552,0.552,0.38152608,unplugged,0.45,0.038,0.225,2.697
