time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591293793537.0933,0DA78762-F235-4794-7768-777AB11C6CFF,612986593534.988,-78,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.092,1.416,0.068
1591293793537.842,0DA78762-F235-4794-7768-777AB11C6CFF,612986593536.52,-78,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.092,1.416,0.068
1591293793596.491,0DA78762-F235-4794-7768-777AB11C6CFF,612986593594.3771,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.088,1.423,0.062
1591293793598.413,0DA78762-F235-4794-7768-777AB11C6CFF,612986593595.995,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.088,1.423,0.063
1591293793660.673,0DA78762-F235-4794-7768-777AB11C6CFF,612986593658.8109,-79,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.082,1.423,0.059
1591293793661.9758,0DA78762-F235-4794-7768-777AB11C6CFF,612986593660.507,-79,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.082,1.423,0.059
1591293793726.746,0DA78762-F235-4794-7768-777AB11C6CFF,612986593724.903,-92,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.116,1.426,0.091
1591293793727.6821,0DA78762-F235-4794-7768-777AB11C6CFF,612986593726.4021,-93,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.116,1.425,0.092
1591293793788.6018,0DA78762-F235-4794-7768-777AB11C6CFF,612986593786.8729,-80,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.133,1.429,0.111
1591293793789.832,0DA78762-F235-4794-7768-777AB11C6CFF,612986593788.428,-80,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.133,1.429,0.111
1591293793853.362,0DA78762-F235-4794-7768-777AB11C6CFF,612986593851.3351,-80,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.119,1.427,0.100
1591293793854.007,0DA78762-F235-4794-7768-777AB11C6CFF,612986593851.38,-80,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.119,1.427,0.100
1591293793914.179,0DA78762-F235-4794-7768-777AB11C6CFF,612986593912.0409,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.062,1.428,0.050
1591293793915.982,0DA78762-F235-4794-7768-777AB11C6CFF,612986593914.302,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.062,1.428,0.050
1591293793977.7598,0DA78762-F235-4794-7768-777AB11C6CFF,612986593976.036,-75,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.070,1.412,0.062
1591293794011.029,0DA78762-F235-4794-7768-777AB11C6CFF,612986594009.1781,-71,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.091,1.404,0.084
1591293794012.6528,0DA78762-F235-4794-7768-777AB11C6CFF,612986594010.818,-71,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.091,1.404,0.084
1591293794075.417,0DA78762-F235-4794-7768-777AB11C6CFF,612986594073.658,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.116,1.388,0.108
1591293794076.52,0DA78762-F235-4794-7768-777AB11C6CFF,612986594075.274,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.116,1.388,0.108
1591293794139.5103,0DA78762-F235-4794-7768-777AB11C6CFF,612986594137.499,-73,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.089,1.372,0.097
1591293794140.2822,0DA78762-F235-4794-7768-777AB11C6CFF,612986594137.577,-73,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.089,1.372,0.093
1591293794201.7651,0DA78762-F235-4794-7768-777AB11C6CFF,612986594199.977,-76,12,0.111,0.364,0.364,0.35268608,unplugged,0.28,-0.115,1.373,0.117
